"tick";"Running scenario number";"random_seed";"Certificate price (Euro)";"Power price Norway (Euro)";"Power price Sweden (Euro)";"Number of plants i Norway (acc)";"Number of plants i Sweden (acc)";"Added annual production Norway (acc) (MWh)";"Added annual production Sweden (acc) (MWh)";"Eligible annual production Norway (MWh)";"Eligible annual production Sweden (MWh)";"Eligible annual production Total (MWh)";"Added wind capacity Norway (acc) (MW)";"Added wind capacity Sweden (acc) (MW)";"Added hydro capacity Norway (acc) (MW)";"Added hydro capacity Sweden (acc) (MW)";"Added all other capacity Norway (acc) (MW)";"Added all other capacity Sweden (acc) (MW)";"Certificate balance (MW)";"Total capacity added Norway (acc) (MW)";"Total capacity added Sweden (acc) (MW)";"Added wind production Norway (acc) (MWh)";"Added hydo production Norway (acc) (MWh)";"Added all other production Norway (acc) (MWh)";"Added hydro production Sweden (acc) (MWh)";"Added all other production Sweden (acc) (MWh)";"Added wind production Sweden (acc) (MWh)"
65.0;0.0;7;23.966087732772348;25.606211808802527;26.50621180880253;9.0;127.0;5626548.0;3.3266700059999987E7;5626548.0;1.014906006E7;1.577560806E7;107.6;3443.8500000000004;603.0;37.0;0.0;2644.0;1.4491348634117104E7;710.6;6124.85;344268.0;5282280.0;0.0;324120.0;2.316144E7;9781140.06
66.0;0.0;7;24.383946773110925;25.606211808802527;26.50621180880253;9.0;127.0;5626548.0;3.3266700059999987E7;5626548.0;1.014906006E7;1.577560806E7;107.6;3443.8500000000004;603.0;37.0;0.0;2644.0;1.4363830184210518E7;710.6;6124.85;344268.0;5282280.0;0.0;324120.0;2.316144E7;9781140.06
67.0;0.0;7;25.24028714698431;25.606211808802527;26.50621180880253;10.0;127.0;5715900.0;3.3266700059999987E7;5715900.0;1.014906006E7;1.586496006E7;137.6;3443.8500000000004;603.0;37.0;0.0;2644.0;1.4229814650205867E7;740.6;6124.85;433620.0;5282280.0;0.0;324120.0;2.316144E7;9781140.06
68.0;0.0;7;25.0144153011839;25.606211808802527;26.50621180880253;10.0;128.0;5715900.0;3.3319260059999987E7;5715900.0;1.020162006E7;1.591752006E7;137.6;3458.8500000000004;603.0;37.0;0.0;2644.0;1.401658733910748E7;740.6;6139.85;433620.0;5282280.0;0.0;324120.0;2.316144E7;9833700.06
69.0;0.0;7;24.330668919544873;25.606211808802527;26.50621180880253;11.0;128.0;6294060.0;3.3319260059999987E7;6294060.0;1.020162006E7;1.649568006E7;137.6;3458.8500000000004;669.0;37.0;0.0;2644.0;1.3669327759898765E7;806.6;6139.85;433620.0;5860440.0;0.0;324120.0;2.316144E7;9833700.06
70.0;0.0;7;24.27665166471666;25.606211808802527;26.50621180880253;11.0;129.0;6294060.0;3.3415620059999987E7;6294060.0;1.029798006E7;1.659204006E7;137.6;3458.8500000000004;669.0;48.0;0.0;2644.0;1.364062916821435E7;806.6;6150.85;433620.0;5860440.0;0.0;420480.0;2.316144E7;9833700.06
71.0;0.0;7;24.330668919544873;25.606211808802527;26.50621180880253;11.0;130.0;6294060.0;3.362586005999999E7;6294060.0;1.029798006E7;1.659204006E7;137.6;3458.8500000000004;669.0;48.0;0.0;2668.0;1.3927929172082407E7;806.6;6174.85;433620.0;5860440.0;0.0;420480.0;2.337168E7;9833700.06
72.0;0.0;7;23.654256283831394;25.453956309300573;26.353956309300575;11.0;130.0;6294060.0;3.362586005999999E7;6294060.0;1.029798006E7;1.659204006E7;137.6;3458.8500000000004;669.0;48.0;0.0;2668.0;1.3726172854601197E7;806.6;6174.85;433620.0;5860440.0;0.0;420480.0;2.337168E7;9833700.06
73.0;0.0;7;23.97055482919545;25.453956309300573;26.353956309300575;11.0;131.0;6294060.0;3.383610005999999E7;6294060.0;1.029798006E7;1.659204006E7;137.6;3458.8500000000004;669.0;48.0;0.0;2692.0;1.3064419814407103E7;806.6;6198.85;433620.0;5860440.0;0.0;420480.0;2.358192E7;9833700.06
74.0;0.0;7;24.99778915267941;25.453956309300573;26.353956309300575;11.0;132.0;6294060.0;3.395173205999999E7;6294060.0;1.041361206E7;1.670767206E7;137.6;3498.8500000000004;669.0;48.0;0.0;2692.0;1.195279876970819E7;806.6;6238.85;433620.0;5860440.0;0.0;420480.0;2.358192E7;9949332.06
75.0;0.0;7;24.563993029048955;25.453956309300573;26.353956309300575;11.0;133.0;6294060.0;3.402181205999999E7;6294060.0;1.048369206E7;1.6777752060000002E7;137.6;3498.8500000000004;669.0;56.0;0.0;2692.0;1.1880722511665147E7;806.6;6246.85;433620.0;5860440.0;0.0;490560.0;2.358192E7;9949332.06
76.0;0.0;7;24.996301227237943;25.453956309300573;26.353956309300575;11.0;133.0;6294060.0;3.402181205999999E7;6294060.0;1.048369206E7;1.6777752060000002E7;137.6;3498.8500000000004;669.0;56.0;0.0;2692.0;1.1885730282178596E7;806.6;6246.85;433620.0;5860440.0;0.0;490560.0;2.358192E7;9949332.06
77.0;0.0;7;24.275585267002562;25.453956309300573;26.353956309300575;11.0;133.0;6294060.0;3.402181205999999E7;6294060.0;1.048369206E7;1.6777752060000002E7;137.6;3498.8500000000004;669.0;56.0;0.0;2692.0;1.1754006376875754E7;806.6;6246.85;433620.0;5860440.0;0.0;490560.0;2.358192E7;9949332.06
78.0;0.0;7;25.662934883703652;25.453956309300573;26.353956309300575;11.0;133.0;6294060.0;3.402181205999999E7;6294060.0;1.048369206E7;1.6777752060000002E7;137.6;3498.8500000000004;669.0;56.0;0.0;2692.0;1.157197011328229E7;806.6;6246.85;433620.0;5860440.0;0.0;490560.0;2.358192E7;9949332.06
79.0;0.0;7;24.275585267002562;25.453956309300573;26.353956309300575;11.0;133.0;6294060.0;3.402181205999999E7;6294060.0;1.048369206E7;1.6777752060000002E7;137.6;3498.8500000000004;669.0;56.0;0.0;2692.0;1.1341640764708977E7;806.6;6246.85;433620.0;5860440.0;0.0;490560.0;2.358192E7;9949332.06
80.0;0.0;7;24.933684595539532;25.453956309300573;26.353956309300575;11.0;133.0;6294060.0;3.402181205999999E7;6294060.0;1.048369206E7;1.6777752060000002E7;137.6;3498.8500000000004;669.0;56.0;0.0;2692.0;1.0985536475797214E7;806.6;6246.85;433620.0;5860440.0;0.0;490560.0;2.358192E7;9949332.06
