"tick";"Total";"ObligatedPurchaser";"Producers";"Trader"
73.0;1.3995101520343473E7;-7861245.422510048;2.185634694285352E7;0.0
74.0;1.3092960111097062E7;-7705254.034815604;2.0798214145912666E7;0.0
75.0;1.32230634885065E7;-7148753.9270084165;2.0371817415514916E7;0.0
76.0;1.3620099920927197E7;-6236623.769906383;1.985672369083358E7;0.0
77.0;1.397827370398634E7;-5584631.945467654;1.9562905649453994E7;0.0
78.0;1.427744812875487E7;-5062977.699049644;1.9340425827804513E7;0.0
79.0;1.4418050442088801E7;-4869753.144648577;1.928780358673738E7;0.0
80.0;1.4322598788629517E7;-4764865.847619876;1.9087464636249393E7;0.0
81.0;1.4038098218596892E7;-5375833.02322706;1.9413931241823953E7;0.0
82.0;1.3971873323132047E7;-5814928.256881664;1.978680158001371E7;0.0
83.0;1.4081217100000001E7;-6370692.902683671;2.0451910002683673E7;0.0
84.0;1.3719850558628842E7;-7548659.01761382;2.1268509576242663E7;0.0
85.0;1.2948724108376902E7;-7918746.045141168;2.086747015351807E7;0.0
86.0;1.1842717263933111E7;-8243779.23029665;2.008649649422976E7;0.0
87.0;1.1986374538238324E7;-7103017.445036572;1.9089391983274896E7;0.0
88.0;1.233464992716368E7;-4885067.533325736;1.7219717460489415E7;0.0
89.0;1.2657014219778635E7;-3950494.1462808866;1.6607508366059521E7;0.0
90.0;1.289982850516681E7;-4248583.985377077;1.7148412490543887E7;0.0
91.0;1.2940841302891264E7;-3592249.190465406;1.653309049335667E7;0.0
92.0;1.2709654170209212E7;-4022871.203355649;1.6732525373564862E7;0.0
93.0;1.2253586468572296E7;-4820417.696957488;1.7074004165529784E7;0.0
94.0;1.1984184249841418E7;-5018793.518370424;1.700297776821184E7;0.0
95.0;1.1861966299999988E7;-5480839.010452988;1.7342805310452975E7;0.0
96.0;1.1436867887147661E7;-6847761.517668687;1.8284629404816348E7;0.0
97.0;1.0587618334688134E7;-8362057.270070915;1.894967560475905E7;0.0
98.0;9397096.181925375;-8182736.344485511;1.7579832526410885E7;0.0
99.0;9451748.208373178;-7469620.620700029;1.6921368829073206E7;0.0
100.0;9726085.489937447;-6390627.610250543;1.6116713100187989E7;0.0
101.0;9983035.262013178;-6553566.68675756;1.653660194877074E7;0.0
102.0;1.0168409988662407E7;-5560245.145481722;1.572865513414413E7;0.0
103.0;1.0147582003412087E7;-5870335.613577521;1.6017917616989607E7;0.0
104.0;9861425.3313369;-6121357.377855733;1.5982782709192634E7;0.0
105.0;9330241.475665983;-6669532.193779237;1.599977366944522E7;0.0
106.0;8963494.79361952;-8014028.239113221;1.697752303273274E7;0.0
107.0;8720583.399999993;-9399763.619732196;1.812034701973219E7;0.0
108.0;8453322.29077761;-8902826.138757767;1.7356148429535378E7;0.0
109.0;7758670.315938761;-9130249.90036611;1.6888920216304872E7;0.0
110.0;6726720.765574522;-8297943.806309471;1.5024664571883993E7;0.0
111.0;6932252.663505141;-8122813.474215377;1.5055066137720518E7;0.0
112.0;7465568.177952402;-5373581.318806822;1.2839149496759225E7;0.0
113.0;7987059.909613073;-4858501.622982515;1.2845561532595588E7;0.0
114.0;8436712.743221026;-4656125.532713429;1.3092838275934456E7;0.0
115.0;8705251.308792243;-4701686.59474922;1.3406937903541462E7;0.0
116.0;8683970.58410401;-5076427.67869954;1.376039826280355E7;0.0
117.0;8432111.388594907;-5392323.705708387;1.3824435094303293E7;0.0
118.0;8355897.393767759;-5164507.560831709;1.3520404954599468E7;0.0
119.0;8408141.599999994;-5236528.070784593;1.3644669670784587E7;0.0
120.0;8439209.646943625;-5806868.6210748395;1.4246078268018465E7;0.0
121.0;7993857.621366992;-4802292.197397689;1.2796149818764681E7;0.0
122.0;7233674.2286013225;-5147482.549918841;1.2381156778520163E7;0.0
123.0;7694798.835607313;-4017100.6267929696;1.1711899462400282E7;0.0
124.0;8358367.17417749;-4014407.072784631;1.237277424696212E7;0.0
125.0;9005808.516486648;-3222621.9144587656;1.2228430430945413E7;0.0
126.0;9558793.575291242;-2540990.7366900435;1.2099784311981287E7;0.0
127.0;9895741.090346608;-2783753.247558855;1.2679494337905463E7;0.0
128.0;9937446.096008833;-2922707.3542721896;1.2860153450281022E7;0.0
