"tick";"Total";"ObligatedPurchaser";"Producers";"Trader"
69.0;9845422.596298203;-4164773.2735243207;1.3998995869822524E7;11200.0
70.0;9616833.670122465;-4839337.962703424;1.4444971632825889E7;11200.0
71.0;9588592.599999996;-6123459.585667964;1.570205218566796E7;10000.0
72.0;9118931.549311202;-7223500.042052732;1.6332031591363933E7;10400.0
73.0;8251110.420343472;-7495992.883430723;1.5738303303774195E7;8800.0
74.0;7098484.11109706;-6972728.748796737;1.4064012859893797E7;7200.0
75.0;7053540.788506498;-6878876.000630812;1.392521678913731E7;7200.0
76.0;7240629.220927197;-6876267.169490998;1.4109696390418194E7;7200.0
77.0;7384475.003986346;-6243713.818746645;1.362378882273299E7;4400.0
78.0;7456838.428754872;-4469745.629759053;1.1923784058513924E7;2800.0
79.0;7379214.542088804;-4432812.929219005;1.1810827471307809E7;1200.0
80.0;7094729.388629529;-4778396.899289544;1.1872726287919072E7;400.0
81.0;6732009.318596886;-5751305.307405283;1.2483714626002168E7;-400.0
82.0;6609457.623132034;-6136302.465245373;1.2744560088377407E7;1200.0
83.0;6665394.6000000015;-7736496.994539671;1.4400291594539672E7;1600.0
84.0;6250621.258628843;-8230966.138491914;1.4480787397120757E7;800.0
85.0;5453098.008376894;-7531057.932486192;1.2984955940863086E7;-800.0
86.0;4296954.763933112;-6984839.263288318;1.128259402722143E7;-800.0
87.0;4291925.638238322;-5774131.173137598;1.006605681137592E7;0.0
88.0;4492500.127163682;-4842598.046454888;9335898.17361857;-800.0
89.0;4662783.519778637;-2728085.858932439;7390469.3787110755;400.0
90.0;4774686.905166816;-2647655.890537849;7420342.795704665;2000.0
91.0;4713258.802891268;-2726837.836137511;7437296.639028779;2800.0
92.0;4394960.770209216;-2871990.366026621;7261751.136235837;5200.0
93.0;3852307.7685722928;-4003128.455941073;7849836.224513366;5600.0
94.0;3520410.249841424;-3772907.608260322;7286117.858101746;7200.0
95.0;3335696.999999997;-5082169.124575057;8409466.124575054;8400.0
96.0;2856907.08714767;-6605139.763867961;9453646.851015631;8400.0
97.0;1953966.0346881421;-6011421.784223289;7956987.818911431;8400.0
98.0;709752.381925378;-6285423.570107672;6985975.95203305;9200.0
99.0;710712.9083731798;-5891022.353736532;6594135.262109712;7600.0
100.0;931358.6899374463;-5035865.334149126;5958024.024086572;9200.0
101.0;1137317.962013185;-4465891.247855387;5594809.209868572;8400.0
102.0;1270694.788662415;-4029333.1241764287;5291627.912838844;8400.0
103.0;1196182.6034120847;-3761623.607774313;4949406.211186398;8400.0
104.0;898842.3313369066;-3298464.127599198;4189306.4589361046;8000.0
105.0;365650.9756659912;-4435843.640476105;4792694.616142096;8800.0
106.0;50.39361952897161;-5190113.9103345135;5182164.3039540425;8000.0
107.0;-241714.90000000317;-7134576.294437687;6885261.394437684;7600.0
108.0;-507829.9092223793;-7690106.932576021;7173077.023353642;9200.0
109.0;-1201335.7840612317;-7659149.367206404;6445813.583145172;12000.0
110.0;-2232139.2344254693;-6739125.3055404695;4494186.071115;12800.0
111.0;-2020424.236494857;-7121803.117281857;5090178.880787;11200.0
112.0;-1602470.6220475947;-7243147.039980892;5629076.417933297;11600.0
113.0;-1205976.790386919;-6078700.363263089;4863123.57287617;9600.0
114.0;-894790.3567789746;-5675017.533655527;4772627.176876552;7600.0
115.0;-790910.5912077473;-4827129.375352741;4030218.784144994;6000.0
116.0;-976850.1158959833;-4690896.777253563;3708046.6613575793;6000.0
117.0;-1378972.5114050903;-5326811.17139587;3942638.6599907796;5200.0
118.0;-1613640.3062322335;-6148939.586788993;4528899.28055676;6400.0
119.0;-1719849.9000000078;-7836815.047750239;6111765.147750231;5200.0
120.0;-1847235.65305637;-8623304.514042674;6772468.860986304;3600.0
121.0;-2451041.4786330014;-9215597.863223389;6761356.384590387;3200.0
122.0;-3369678.6713986676;-1.0906753683780016E7;7535875.012381349;1200.0
123.0;-3067007.864392685;-1.1630985896910898E7;8564778.032518214;-800.0
