"Cert price";"Expected price";"Floor";"Roof";"Powerprice_N";"tick"
9.097671086010672;8.529566056740975;0.0;500.0;30.5;87.0
9.413654756569175;8.966224099180705;0.0;500.0;30.5;88.0
9.549569669814215;9.308321376836549;0.0;500.0;30.5;89.0
9.830525939206693;9.4964009698414;0.0;500.0;30.5;90.0
10.511349305232331;9.756471330326384;0.0;500.0;30.5;91.0
10.779709334195173;10.33525203862186;0.0;500.0;30.5;92.0
11.29889428121659;10.670783858857652;0.0;500.0;30.5;93.0
11.468720877740143;11.160855059270936;0.0;500.0;30.5;94.0
12.192562689863987;11.393666518047773;0.0;500.0;30.5;95.0
12.143320623656786;12.014271622451348;0.0;500.0;30.5;96.0
13.110072982943738;12.104477932627603;0.0;500.0;30.5;97.0
13.436976331751696;12.891084321895873;0.0;500.0;30.5;98.0
13.986155502038397;13.294764665398358;0.0;500.0;30.5;99.0
