"Cert price";"Expected price";"Floor";"Roof";"Powerprice_N";"tick";"CertificateValue_Lon_Prod";"CertificateValue_Prod";"CertificateValue_Purch"
20.14;20.996142255177993;0.0;250.0;29.796232218377547;33.0;130.75026924257585;22.181449912345826;46.18496911383714
19.47;18.8161693121237;0.0;250.0;29.796232218377547;34.0;129.90395967610857;21.558379343493808;45.79207640321291
18.2;19.17992946417889;0.0;250.0;29.796232218377547;35.0;131.76478584791576;20.364971742987436;44.97190470444226
15.196257796640538;18.55527422536271;19.79360038054851;74.39276122584172;31.05536332179931;36.0;93.55345863638831;12.098794076171208;28.94188104713616
16.141048618612523;16.084467632421944;19.79360038054851;74.39276122584172;31.05536332179931;37.0;102.8393459281909;12.804122424540276;29.893421367431337
16.830871104337326;15.32972521560958;19.79360038054851;74.39276122584172;31.05536332179931;38.0;103.36853115590394;13.257543914133086;30.52442493585775
16.915432550218814;16.812160823925787;19.79360038054851;74.39276122584172;31.05536332179931;39.0;104.77977962625123;13.267010511292952;30.746873818129
17.28263715771247;16.948169629269163;19.79360038054851;74.39276122584172;31.05536332179931;40.0;107.78529567428566;13.503127696496312;31.154957242211886
16.933218404791038;16.633608029095612;19.79360038054851;74.39276122584172;31.05536332179931;41.0;109.2256616307392;13.25286348206681;31.08296646526157
17.289286815219814;15.444851229667934;19.79360038054851;74.39276122584172;31.05536332179931;42.0;112.08835099798077;13.50003602287416;31.449865634589028
17.09965545854529;15.797384572345132;19.79360038054851;74.39276122584172;31.05536332179931;43.0;113.23656640242434;13.388610919716623;31.516897365892458
16.985706402439558;17.1629797875456;19.79360038054851;74.39276122584172;31.05536332179931;44.0;118.31359781070547;13.34231713652111;31.577048178852152
16.536084560096388;15.18871586543808;19.79360038054851;74.39276122584172;31.05536332179931;45.0;148.1501322234313;13.053219948511762;45.051827063741655
16.342320672307647;15.023521281616807;19.79360038054851;74.39276122584172;31.05536332179931;46.0;150.67572911551966;18.55495805515274;45.13849223446665
15.938937354560426;15.332274333797784;19.79360038054851;74.39276122584172;31.05536332179931;47.0;153.61759444211245;18.30189694152913;45.096284754165815
15.277142810338992;16.542866742783485;19.081227916988983;73.283402275496;29.683153538231903;48.0;155.18451248931288;17.76443613111316;44.83364608963538
15.390318502965997;15.575565047260218;19.081227916988983;73.283402275496;29.683153538231903;49.0;157.92700598709897;17.87293053517113;48.58993102869642
15.886491900814002;13.51386747471818;19.081227916988983;73.283402275496;29.683153538231903;50.0;159.5398304656053;18.311996559277418;49.05912974879614
15.835826700489605;15.09374155702917;19.081227916988983;73.283402275496;29.683153538231903;51.0;161.74383273166518;18.183255592531033;51.90415948252163
